Timestamp,Username,What is the most important factor for you when choosing a flatmate? ,How do you prefer your flatmate’s daily routine to be? ,What level of social activity do you expect from your flatmate?  ,"How do you feel about sharing expenses with a flatmate?
",Which quality do you think is a deal-breaker in a flatmate?  ,How important is having similar hobbies or interests with your flatmate?  
2025-08-30 16:10:52,susansmith@hotmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),Very social (likes to hang out often),"Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 23:22:35,gordonjohn@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 04:41:21,ofitzgerald@king.com,Friendly & cooperative nature,Flexible (adjusts as needed),Doesn’t matter to me,Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 13:32:05,dawn28@mendoza.net,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 18:46:55,robertwilliams@yahoo.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 07:32:50,dcherry@yates.info,Cleanliness & hygiene,Flexible (adjusts as needed),Very social (likes to hang out often),Strictly 50-50 split,Lack of cleanliness,Very important (I want to share activities)
2025-08-31 08:27:19,chadsanchez@foster-perez.org,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 02:06:54,suzannemartinez@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 16:20:36,vfleming@fox.com,Friendly & cooperative nature,Flexible (adjusts as needed),Doesn’t matter to me,Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 21:54:08,timothyclark@obrien.org,Cleanliness & hygiene,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 06:32:40,brownclaudia@hall.org,Cleanliness & hygiene,Flexible (adjusts as needed),Mostly private (values personal space more),Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 11:49:25,aberg@miller-villanueva.com,Similar lifestyle & interests,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 04:52:32,mitchell44@adams.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,I prefer completely different hobbies
2025-08-31 16:34:17,jacquelinediaz@garcia.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 06:22:54,valenciastacey@lewis.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,I prefer completely different hobbies
2025-08-31 06:53:35,william93@tran.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 11:45:14,hansenroger@gmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 09:30:42,garciadavid@williams.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 23:03:29,wlopez@brown-leonard.com,Cleanliness & hygiene,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 03:02:33,tina79@owens.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 05:54:01,froberts@yahoo.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 09:03:46,abigail25@king-decker.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 23:34:44,jessica67@marshall-richards.com,Cleanliness & hygiene,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 01:14:47,fsanchez@hutchinson-neal.com,Similar lifestyle & interests,Early bird,Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 00:43:22,patty92@yahoo.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 19:22:47,piercemargaret@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Doesn’t matter to me,Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,I prefer completely different hobbies
2025-08-30 15:11:27,jason86@silva-roth.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 08:12:28,steven19@hotmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),Mostly private (values personal space more),Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 14:51:39,john19@hanson.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 05:07:05,kerramanda@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 06:32:01,carmenevans@lopez-hahn.com,Similar lifestyle & interests,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 08:49:46,justinmoore@mcfarland-freeman.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 04:41:11,diana78@johnson-patterson.biz,Cleanliness & hygiene,Flexible (adjusts as needed),Mostly private (values personal space more),I prefer to keep finances separate,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 14:37:08,aallison@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 02:52:54,scottpeggy@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 19:09:58,angelamendoza@yahoo.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 03:41:20,annfrost@gmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 10:26:11,tward@smith.com,Cleanliness & hygiene,Doesn’t matter to me,Very social (likes to hang out often),Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 19:31:09,sawyermichelle@hotmail.com,Study/Work habits,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 23:16:48,diazchristine@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 17:44:04,walkeramanda@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 18:09:31,pporter@hotmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 08:06:58,deborah06@baker-perez.net,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 01:53:35,patrick62@hotmail.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 21:49:02,justin16@yahoo.com,Similar lifestyle & interests,Doesn’t matter to me,Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 00:54:31,ortegarobert@smith.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 13:39:43,nclark@gonzalez.org,Study/Work habits,Doesn’t matter to me,Mostly private (values personal space more),"Flexible, based on usage",Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
